PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",0,-0.10463740114712752,1,0,PC 17569,2.301728820789,B78,0
33,1,3,"Glynn, Miss. Mary Agatha",0,-0.10463740114712752,0,0,335677,-0.49237782784290063,,1
34,0,2,"Wheadon, Mr. Edward H",1,2.8156566450619374,0,0,C.A. 24579,-0.43700743807979686,,2
35,0,1,"Meyer, Mr. Edgar Joseph",1,-0.10463740114712752,1,0,PC 17604,1.0060617003323709,,0
36,0,1,"Holverson, Mr. Alexander Oskar",1,0.9712604053509489,1,0,113789,0.39858208016340624,,2
37,1,3,"Mamee, Mr. Hanna",1,-0.10463740114712752,0,0,2677,-0.5028639729296732,,0
38,0,3,"Cann, Mr. Ernest Charles",1,-0.6425863043961658,0,0,A./5. 2152,-0.4863374216869257,,2
39,0,3,"Vander Planke, Miss. Augusta Maria",0,-0.8731358343600393,2,0,345764,-0.2859972841804228,,2
40,1,3,"Nicola-Yarred, Miss. Jamila",0,-1.180535207645204,1,0,2651,-0.42207354059350805,,0
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,0.8175607187083667,1,0,7546,-0.4576454924460446,,2
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,-0.1814872444684187,1,0,11668,-0.22559322262067316,,2
43,0,3,"Kraeff, Mr. Theodor",1,-0.10463740114712752,0,0,349253,-0.4894421904510968,,0
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",0,-2.025883484179407,1,2,SC/Paris 2123,0.18876253192945994,,0
45,1,3,"Devaney, Miss. Margaret Delia",0,-0.7962859910387481,0,0,330958,-0.48977642625839407,,1
46,0,3,"Rogers, Mr. William John",1,-0.10463740114712752,0,0,S.C./A.4. 23567,-0.4863374216869257,,2
47,0,3,"Lennon, Mr. Denis",1,-0.10463740114712752,1,0,370371,-0.3363340021468808,,1
48,1,3,"O'Driscoll, Miss. Bridget",0,-0.10463740114712752,0,0,14311,-0.49237782784290063,,1
49,0,3,"Samaan, Mr. Youssef",1,-0.10463740114712752,2,0,2662,-0.21191774308354583,,0
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0,-0.8731358343600393,1,0,349237,-0.29002422161773944,,2
51,0,3,"Panula, Master. Juha Niilo",1,-1.7184841108942424,4,1,3101295,0.1506737441786005,,2
52,0,3,"Nosworthy, Mr. Richard Cater",1,-0.6425863043961658,0,0,A/4. 39886,-0.4913710934835715,,2
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",0,1.5092093085999871,1,0,PC 17572,0.8964967865378598,D33,0
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",0,-0.027787557825836348,1,0,2926,-0.12491978668775715,,2
55,0,1,"Ostby, Mr. Engelhart Cornelius",1,2.738806801740646,0,1,113509,0.5995101505357573,B30,0
56,1,1,"Woolner, Mr. Hugh",1,-0.10463740114712752,0,0,19947,0.06635974158478332,C52,2
57,1,2,"Rugg, Miss. Emily",0,-0.6425863043961658,0,0,C.A. 31026,-0.43700743807979686,,2
58,0,3,"Novel, Mr. Mansouer",1,-0.06621247948648194,0,0,2697,-0.5028639729296732,,0
59,1,2,"West, Miss. Constance Mirium",0,-1.8721837975368247,1,2,C.A. 34651,-0.08968408411123653,,2
60,0,3,"Goodwin, Master. William Frederick",1,-1.4110847376090776,5,2,CA 2144,0.2958951755118318,,2
61,0,3,"Sirayanian, Mr. Orsen",1,-0.5657364610748746,0,0,2669,-0.5028639729296732,,0
62,1,1,"Icard, Miss. Amelie",0,0.6638610320657843,0,0,113572,0.962353321387736,B28,2
63,0,1,"Harris, Mr. Henry Birkhardt",1,1.2018099353148226,1,0,36973,1.0323213593611125,C83,2
64,0,3,"Skoog, Master. Harald",1,-1.949033640858116,3,2,347088,-0.08666388103324908,,2
65,0,1,"Stewart, Mr. Albert A",1,-0.10463740114712752,0,0,PC 17605,-0.09027201697708476,,0
66,1,3,"Moubarek, Master. Gerios",1,-0.10463740114712752,1,1,2661,-0.3414522396297103,,0
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",0,-0.027787557825836348,0,0,C.A. 29395,-0.43700743807979686,F33,2
68,0,3,"Crease, Mr. Ernest James",1,-0.7962859910387481,0,0,S.P. 3464,-0.4841568350646187,,2
69,1,3,"Andersson, Miss. Erna Alexandra",0,-0.9499856776813305,4,2,3101281,-0.4888542575852486,,2
70,0,3,"Kink, Mr. Vincenz",1,-0.2583370877897099,2,0,315151,-0.47400492578514347,,2
71,0,2,"Jenkin, Mr. Stephen Curnow",1,0.20276197213803718,0,0,C.A. 33111,-0.43700743807979686,,2
72,0,3,"Goodwin, Miss. Lillian Amy",0,-1.0268355210026217,5,2,CA 2144,0.2958951755118318,,2
73,0,2,"Hood, Mr. Ambrose Jr",1,-0.6425863043961658,0,0,S.O.C. 14879,0.8314778546749452,,2
74,0,3,"Chronopoulos, Mr. Apostolos",1,-0.2583370877897099,1,0,2680,-0.3573908580066095,,0
75,1,3,"Bing, Mr. Lee",1,0.20276197213803718,0,0,1601,0.48910360681684706,,2
76,0,3,"Moen, Mr. Sigurd Hansen",1,-0.33518693111100106,0,0,348123,-0.494391296561559,F G73,2
77,0,3,"Staneff, Mr. Ivan",1,-0.10463740114712752,0,0,349208,-0.4894421904510968,,2
78,0,3,"Moutal, Mr. Rahamin Haim",1,-0.10463740114712752,0,0,374746,-0.4863374216869257,,2
79,1,2,"Caldwell, Master. Alden Gates",1,-2.192647644186609,0,2,248738,-0.06451572512800753,,2
80,1,3,"Dowdell, Miss. Elizabeth",0,0.04906228549545483,0,0,364516,-0.397241430886295,,2
81,0,3,"Waelens, Mr. Achille",1,-0.5657364610748746,0,0,345767,-0.46720946885967163,,2
82,1,3,"Sheerlinck, Mr. Jan Baptist",1,-0.027787557825836348,0,0,345779,-0.45714212526638004,,2
83,1,3,"McDermott, Miss. Brigdet Delia",0,-0.10463740114712752,0,0,330932,-0.49162277707340374,,1
84,0,1,"Carrau, Mr. Francisco M",1,-0.10463740114712752,0,0,113059,0.29992211294914856,,2
85,1,2,"Ilett, Miss. Bertha",0,-0.9499856776813305,0,0,SO/C 14885,-0.43700743807979686,,2
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",0,0.27961181545932834,3,0,3101278,-0.32928686163157667,,2
87,0,3,"Ford, Mr. William Neal",1,-1.0268355210026217,1,3,W./C. 6608,0.04370821849987721,,2
88,0,3,"Slocovski, Mr. Selman Francis",1,-0.10463740114712752,0,0,SOTON/OQ 392086,-0.4863374216869257,,2
89,1,1,"Fortune, Miss. Mabel Helen",0,-0.48888661775358344,3,2,19950,4.647001076532463,C23 C25 C27,2
90,0,3,"Celotti, Mr. Francesco",1,-0.41203677443229225,0,0,343275,-0.4863374216869257,,2
91,0,3,"Christmann, Mr. Emil",1,-0.027787557825836348,0,0,343276,-0.4863374216869257,,2
92,0,3,"Andreasson, Mr. Paul Edvin",1,-0.719436147717457,0,0,347466,-0.4902797934380587,,2
93,0,1,"Chaffee, Mr. Herbert Fuller",1,1.2786597786361138,1,0,W.E.P. 5734,0.5833178351003071,E31,2
94,0,3,"Dean, Mr. Bertram Frank",1,-0.2583370877897099,1,2,C.A. 2315,-0.23415046467497105,,2
95,0,3,"Coxon, Mr. Daniel",1,2.277707741812899,0,0,364500,-0.5024451714361923,,2
96,0,3,"Shorney, Mr. Charles Joseph",1,-0.10463740114712752,0,0,374910,-0.4863374216869257,,2
97,0,1,"Goldschmidt, Mr. George B",1,3.1999058616683933,0,0,PC 17754,0.0493298231623713,A5,0
98,1,1,"Greenfield, Mr. William Bertram",1,-0.48888661775358344,0,1,PC 17759,0.6272778976347743,D10 D12,0
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",0,0.35646165878061953,0,1,231919,-0.18532384824750675,,2
100,0,2,"Kantor, Mr. Sinai",1,0.35646165878061953,1,0,244367,-0.12491978668775715,,2
101,0,3,"Petranec, Miss. Matilda",0,-0.10463740114712752,0,0,349245,-0.4894421904510968,,2
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",1,-0.10463740114712752,0,0,349215,-0.4894421904510968,,2
103,0,1,"White, Mr. Richard Frasar",1,-0.6425863043961658,0,1,35281,0.907737982394129,D26,2
104,0,3,"Johansson, Mr. Gustaf Joel",1,0.27961181545932834,0,0,7540,-0.4741720436887921,,2
105,0,3,"Gustafsson, Mr. Anders Vilhelm",1,0.5870111887444931,2,0,3101276,-0.4888542575852486,,2
106,0,3,"Mionoff, Mr. Stoytcho",1,-0.10463740114712752,0,0,349207,-0.4894421904510968,,2
107,1,3,"Salkjelsvik, Miss. Anna Kristine",0,-0.6425863043961658,0,0,343120,-0.494391296561559,,2
108,1,3,"Moss, Mr. Albert Johan",1,-0.10463740114712752,0,0,312991,-0.4918744606632361,,2
109,0,3,"Rekic, Mr. Tido",1,0.6638610320657843,0,0,349249,-0.4894421904510968,,2
110,1,3,"Moran, Miss. Bertha",0,-0.10463740114712752,1,0,371110,-0.1621689579829361,,1
111,0,1,"Porter, Mr. Walter Chamberlain",1,1.3555096219574048,0,0,110465,0.39858208016340624,C110,2
112,0,3,"Zabour, Miss. Hileni",0,-1.1421102859845584,1,0,2665,-0.3573908580066095,,0
113,0,3,"Barton, Mr. David John",1,-0.5657364610748746,0,0,324669,-0.4863374216869257,,2
114,0,3,"Jussila, Miss. Katriina",0,-0.719436147717457,1,0,4136,-0.4505983519307405,,2
115,0,3,"Attalah, Miss. Malake",0,-0.9499856776813305,0,0,2627,-0.3573083057891445,,0
116,0,3,"Pekoniemi, Mr. Edvard",1,-0.6425863043961658,0,0,STON/O 2. 3101294,-0.4888542575852486,,2
117,0,3,"Connors, Mr. Patrick",1,3.1614809400077477,0,0,370369,-0.49237782784290063,,1
118,0,2,"Turpin, Mr. William John Robert",1,-0.027787557825836348,1,0,11668,-0.22559322262067316,,2
119,0,1,"Baxter, Mr. Quigg Edmond",1,-0.41203677443229225,0,1,PC 17558,4.335332226633905,B58 B60,0
120,0,3,"Andersson, Miss. Ellis Anna Maria",0,-2.1027333275006983,4,2,347082,-0.01870931177853076,,2
121,0,2,"Hickman, Mr. Stanley George",1,-0.6425863043961658,2,0,S.O.C. 14879,0.8314778546749452,,2
122,0,3,"Moore, Mr. Leonard Charles",1,-0.10463740114712752,0,0,A4. 54510,-0.4863374216869257,,2
123,0,2,"Nasser, Mr. Nicholas",1,0.24118689379868277,1,0,237736,-0.04295550208861426,,0
124,1,2,"Webber, Miss. Susan",0,0.24118689379868277,0,0,27267,-0.3866707201133388,E101,2
125,0,1,"White, Mr. Percival Wayland",1,1.893458525206443,0,1,35281,0.907737982394129,D26,2
126,1,3,"Nicola-Yarred, Master. Elias",1,-1.3342348942877864,1,0,2651,-0.42207354059350805,,0
127,0,3,"McMahon, Mr. Martin",1,-0.10463740114712752,0,0,370372,-0.49237782784290063,,1
128,1,3,"Madsen, Mr. Fridtjof Arne",1,-0.41203677443229225,0,0,C 17369,-0.5046257580584992,,2
129,1,3,"Peter, Miss. Anna",0,-0.10463740114712752,1,1,2668,-0.19824427701513722,F E69,0
130,0,3,"Ekstrom, Mr. Johan",1,1.2018099353148226,0,0,347061,-0.5079822104125026,,2
131,0,3,"Drazenoic, Mr. Jozef",1,0.27961181545932834,0,0,349241,-0.4894421904510968,,0
132,0,3,"Coelho, Mr. Domingos Fernandeo",1,-0.719436147717457,0,0,SOTON/O.Q. 3101307,-0.5064721088735089,,2
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",0,1.3555096219574048,1,0,A/5. 3337,-0.35646868933346404,,2
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",0,-0.027787557825836348,1,0,228414,-0.12491978668775715,,2
135,0,2,"Sobey, Mr. Samuel James Hayden",1,-0.33518693111100106,0,0,C.A. 29178,-0.3866707201133388,,2
136,0,2,"Richard, Mr. Emile",1,-0.48888661775358344,0,0,SC/PARIS 2133,-0.3454791770670269,,0
137,1,1,"Newsom, Miss. Helen Monypeny",0,-0.7962859910387481,0,2,11752,-0.11921562980779811,D47,2
138,0,1,"Futrelle, Mr. Jacques Heath",1,0.5870111887444931,1,0,113803,0.4207302360686478,C123,2
139,0,3,"Osen, Mr. Olaf Elon",1,-1.0268355210026217,0,0,7534,-0.4628462821463391,,2
140,0,1,"Giglio, Mr. Victor",1,-0.41203677443229225,0,0,PC 17593,0.9462455716384695,B86,0
141,0,3,"Boulos, Mrs. Joseph (Sultana)",0,-0.10463740114712752,0,2,2678,-0.3414522396297103,,0
142,1,3,"Nysten, Miss. Anna Sofia",0,-0.5657364610748746,0,0,347081,-0.49237782784290063,,2
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",0,-0.41203677443229225,1,0,STON/O2. 3101279,-0.32928686163157667,,2
144,0,3,"Burke, Mr. Jeremiah",1,-0.7962859910387481,0,0,365222,-0.5125125150294839,,1
145,0,2,"Andrew, Mr. Edgardo Samuel",1,-0.8731358343600393,0,0,231945,-0.41687275089321363,,2
146,0,2,"Nicholls, Mr. Joseph Charles",1,-0.7962859910387481,1,1,C.A. 33112,0.09152810056801232,,2
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",1,-0.1814872444684187,0,0,350043,-0.49145565916975514,,2
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",0,-1.56478442425166,2,2,W./C. 6608,0.04370821849987721,,2
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",1,0.5485862670838475,0,2,230080,-0.12491978668775715,F2,2
150,0,2,"Byles, Rev. Thomas Roussel Davids",1,0.9712604053509489,0,0,244310,-0.3866707201133388,,2
151,0,2,"Bateman, Rev. Robert James",1,1.6629089952425695,0,0,S.O.P. 1166,-0.39623469652696586,,2
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",0,-0.5657364610748746,1,0,113776,0.6925485130875209,C2,2
153,0,3,"Meo, Mr. Alfonzo",1,2.00873329018838,0,0,A.5. 11206,-0.4863374216869257,,2
154,0,3,"van Billiard, Mr. Austin Blyler",1,0.8559856403690123,0,2,A/5. 851,-0.35646868933346404,,2
155,0,3,"Olsen, Mr. Ole Martin",1,-0.10463740114712752,0,0,Fa 265302,-0.5011867534870308,,2
156,0,1,"Williams, Mr. Charles Duane",1,1.6629089952425695,0,1,PC 17597,0.5874293382238074,,0
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",0,-1.0268355210026217,0,0,35851,-0.49271407711891657,,1
158,0,3,"Corn, Mr. Harry",1,0.04906228549545483,0,0,SOTON/OQ 392090,-0.4863374216869257,,2
159,0,3,"Smiljanic, Mr. Mile",1,-0.10463740114712752,0,0,315037,-0.47400492578514347,,2
160,0,3,"Sage, Master. Thomas Henry",1,-0.10463740114712752,8,2,CA. 2343,0.7519458402879414,,2
161,0,3,"Cribb, Mr. John Hatfield",1,1.1249600919935314,0,1,371362,-0.32425318983493084,,2
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",0,0.8175607187083667,0,0,C.A. 33595,-0.331300330350235,,2
163,0,3,"Bengtsson, Mr. John Viktor",1,-0.2583370877897099,0,0,347068,-0.4918744606632361,,2
164,0,3,"Calic, Mr. Jovo",1,-0.9499856776813305,0,0,315093,-0.47400492578514347,,2
165,0,3,"Panula, Master. Eino Viljami",1,-2.1795831708219895,4,1,3101295,0.1506737441786005,,2
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",1,-1.56478442425166,0,2,363291,-0.2351571990343002,,2
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",0,-0.10463740114712752,0,1,113505,0.4589861417231558,E33,2
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",0,1.2018099353148226,1,4,347088,-0.08666388103324908,,2
169,0,1,"Baumann, Mr. John D",1,-0.10463740114712752,0,0,PC 17318,-0.12642988822675086,,2
170,0,3,"Ling, Mr. Lee",1,-0.10463740114712752,0,0,1601,0.48910360681684706,,2
171,0,1,"Van der hoef, Mr. Wyckoff",1,2.4314074284554814,0,0,111240,0.026090367211616904,B19,2
172,0,3,"Rice, Master. Arthur",1,-1.949033640858116,4,1,382652,-0.06199888922968463,,1
173,1,3,"Johnson, Miss. Eleanor Ileen",0,-2.1795831708219895,1,1,347742,-0.4242561406845337,,2
174,0,3,"Sivola, Mr. Antti Wilhelm",1,-0.6425863043961658,0,0,STON/O 2. 3101280,-0.4888542575852486,,2
175,0,1,"Smith, Mr. James Clinch",1,2.0471582118490255,0,0,17764,-0.030371322596999754,A7,0
176,0,3,"Klasen, Mr. Klas Albin",1,-0.8731358343600393,1,1,350404,-0.4902797934380587,,2
177,0,3,"Lefebre, Master. Henry Forbes",1,-0.10463740114712752,3,1,4133,-0.13565761536436197,,2
178,0,1,"Isham, Miss. Ann Elizabeth",0,1.5860591519212783,0,0,PC 17595,-0.07030444769415023,C49,0
179,0,2,"Hale, Mr. Reginald",1,0.04906228549545483,0,0,250653,-0.3866707201133388,,2
180,0,3,"Leonard, Mr. Lionel",1,0.5101613454232019,0,0,LINE,-0.6484216535389205,,2
181,0,3,"Sage, Miss. Constance Gladys",0,-0.10463740114712752,8,2,CA. 2343,0.7519458402879414,,2
182,0,2,"Pernot, Mr. Rene",1,-0.10463740114712752,0,0,SC/PARIS 2131,-0.34539461138084326,,0
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",1,-1.56478442425166,4,2,347077,-0.016444159470040135,,2
184,1,2,"Becker, Master. Richard F",1,-2.1795831708219895,2,1,230136,0.13683114673782454,F4,2
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",0,-1.949033640858116,0,2,315153,-0.20495516825442542,,2
186,0,1,"Rood, Mr. Hugh Roscoe",1,-0.10463740114712752,0,0,113767,0.3583127057902398,A32,2
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",0,-0.10463740114712752,1,0,370365,-0.3363340021468808,,1
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,1.2018099353148226,0,0,111428,-0.11384570873513637,,2
189,0,3,"Bourke, Mr. John",1,0.8175607187083667,1,1,364849,-0.3363340021468808,,1
190,0,3,"Turcin, Mr. Stjepan",1,0.5101613454232019,0,0,349247,-0.4894421904510968,,2
191,1,2,"Pinsky, Mrs. (Rosa)",0,0.20276197213803718,0,0,234604,-0.3866707201133388,,2
192,0,2,"Carbines, Mr. William",1,-0.7962859910387481,0,0,28424,-0.3866707201133388,,2
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",0,-0.7962859910387481,1,0,350046,-0.4902797934380587,,2
194,1,2,"Navratil, Master. Michel M",1,-2.025883484179407,1,1,230080,-0.12491978668775715,F2,2
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",0,1.1249600919935314,0,0,PC 17610,-0.09027201697708476,B4,0
196,1,1,"Lurette, Miss. Elise",0,2.200857898491608,0,0,PC 17569,2.301728820789,B80,0
197,0,3,"Mernagh, Mr. Robert",1,-0.10463740114712752,0,0,368703,-0.49237782784290063,,1
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",1,0.9712604053509489,0,1,4579,-0.47920571548543794,,2
199,1,3,"Madigan, Miss. Margaret ""Maggie""",0,-0.10463740114712752,0,0,370370,-0.49237782784290063,,1
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",0,-0.41203677443229225,0,0,248747,-0.3866707201133388,,2
201,0,3,"Vande Walle, Mr. Nestor Cyriel",1,-0.10463740114712752,0,0,345770,-0.45714212526638004,,2
202,0,3,"Sage, Mr. Frederick",1,-0.10463740114712752,8,2,CA. 2343,0.7519458402879414,,2
203,0,3,"Johanson, Mr. Jakob Alfred",1,0.35646165878061953,0,0,3101264,-0.5176307525123133,,2
204,0,3,"Youseff, Mr. Gerious",1,1.2402348569754682,0,0,2628,-0.5029485386158568,,0
205,1,3,"Cohen, Mr. Gurshon ""Gus""",1,-0.8731358343600393,0,0,A/5 3540,-0.4863374216869257,,2
206,0,3,"Strom, Miss. Telma Matilda",0,-2.1027333275006983,0,1,347054,-0.43776248884929375,G6,2
207,0,3,"Backstrom, Mr. Karl Alfred",1,0.20276197213803718,1,0,3101278,-0.32928686163157667,,2
208,1,3,"Albimona, Mr. Nassef Cassem",1,-0.2583370877897099,0,0,2699,-0.2701412180209885,,0
209,1,3,"Carr, Miss. Helen ""Ellen""",0,-1.0268355210026217,0,0,367231,-0.49237782784290063,,1
210,1,1,"Blank, Mr. Henry",1,0.8175607187083667,0,0,112277,-0.024246350754841113,A31,0
211,0,3,"Ali, Mr. Ahmed",1,-0.41203677443229225,0,0,SOTON/O.Q. 3101311,-0.5064721088735089,,2
212,1,2,"Cameron, Miss. Clear Annie",0,0.4333115021019107,0,0,F.C.C. 13528,-0.22559322262067316,,2
213,0,3,"Perkin, Mr. John Henry",1,-0.5657364610748746,0,0,A/5 21174,-0.5024451714361923,,2
214,0,2,"Givard, Mr. Hans Kristensen",1,0.04906228549545483,0,0,250646,-0.3866707201133388,,2
215,0,3,"Kiernan, Mr. Philip",1,-0.10463740114712752,1,0,367229,-0.49237782784290063,,1
216,1,1,"Newell, Miss. Madeleine",0,0.12591212881674602,1,0,35273,1.6323350375212924,D36,0
217,1,3,"Honkanen, Miss. Eliina",0,-0.1814872444684187,0,0,STON/O2. 3101283,-0.4888542575852486,,2
218,0,2,"Jacobsohn, Mr. Sidney Samuel",1,0.9712604053509489,1,0,243847,-0.10478509950117394,,2
219,1,1,"Bazzani, Miss. Albina",0,0.20276197213803718,0,0,11813,0.8876878608937296,D15,0
220,0,2,"Harris, Mr. Walter",1,0.04906228549545483,0,0,W/C 14208,-0.43700743807979686,,2
221,1,3,"Sunderland, Mr. Victor Francis",1,-1.0268355210026217,0,0,SOTON/OQ 392089,-0.4863374216869257,,2
222,0,2,"Bracken, Mr. James H",1,-0.1814872444684187,0,0,220367,-0.3866707201133388,,2
223,0,3,"Green, Mr. George Henry",1,1.6629089952425695,0,0,21440,-0.4863374216869257,,2
224,0,3,"Nenkoff, Mr. Christo",1,-0.10463740114712752,0,0,349234,-0.4894421904510968,,2
225,1,1,"Hoyt, Mr. Frederick Maxfield",1,0.6638610320657843,1,0,19943,1.163700193253568,C93,2
226,0,3,"Berglund, Mr. Karl Ivar Sven",1,-0.5657364610748746,0,0,PP 4348,-0.4601623283443675,,2
227,1,2,"Mellors, Mr. William John",1,-0.7962859910387481,0,0,SW/PP 751,-0.43700743807979686,,2
228,0,3,"Lovell, Mr. John Hall (""Henry"")",1,-0.6810112260568114,0,0,A/5 21173,-0.5024451714361923,,2
229,0,2,"Fahlstrom, Mr. Arne Jonas",1,-0.8731358343600393,0,0,236171,-0.3866707201133388,,2
230,0,3,"Lefebre, Miss. Mathilde",0,-0.10463740114712752,3,1,4133,-0.13565761536436197,,2
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",0,0.4333115021019107,1,0,36973,1.0323213593611125,C83,2
232,0,3,"Larsson, Mr. Bengt Edvin",1,-0.027787557825836348,0,0,347067,-0.4918744606632361,,2
233,0,2,"Sjostedt, Mr. Ernst Adolf",1,2.277707741812899,0,0,237442,-0.3766033765200472,,2
234,1,3,"Asplund, Miss. Lillian Gertrud",0,-1.8721837975368247,4,2,347077,-0.016444159470040135,,2
235,0,2,"Leyson, Mr. Robert William Norman",1,-0.41203677443229225,0,0,C.A. 29566,-0.43700743807979686,,2
236,0,3,"Harknett, Miss. Alice Phoebe",0,-0.10463740114712752,0,0,W./C. 6609,-0.49640476528021726,,2
237,0,2,"Hold, Mr. Stephen",1,1.1249600919935314,1,0,26707,-0.12491978668775715,,2
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",0,-1.6416342675729512,0,2,C.A. 31921,-0.11988611489111134,,2
